starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 18 13:44:22 2020	1595069062	0	13439	13439	13439
Sat Jul 18 13:44:22 2020	1595069062	0	13440	13440	13439
Sat Jul 18 13:44:22 2020	1595069062	0	13440	13440	13440
Sat Jul 18 13:44:34 2020	1595069074	0	13440	13440	13440
Sat Jul 18 13:44:22 2020	1595069062	0	13440	13440	13440
Sat Jul 18 13:44:34 2020	1595069074	0	13443	13443	13441
Sat Jul 18 13:44:02 2020	1595069042	20	13426	13447	13426
Sat Jul 18 13:44:39 2020	1595069079	0	13447	13447	13447
Sat Jul 18 13:44:34 2020	1595069074	0	13448	13448	13448
Sat Jul 18 13:44:34 2020	1595069074	0	13450	13450	13449
Sat Jul 18 13:44:21 2020	1595069061	0	13450	13450	13450
Sat Jul 18 13:44:02 2020	1595069042	20	13430	13450	13429
Sat Jul 18 13:44:22 2020	1595069062	0	13450	13450	13450
Sat Jul 18 13:44:02 2020	1595069042	20	13434	13454	13433
Sat Jul 18 13:44:34 2020	1595069074	0	13454	13454	13454
Sat Jul 18 13:44:34 2020	1595069074	0	13456	13456	13456
Sat Jul 18 13:44:34 2020	1595069074	0	13459	13459	13459
Sat Jul 18 13:44:21 2020	1595069061	0	13460	13460	13460
Sat Jul 18 13:44:21 2020	1595069061	0	13461	13461	13461
Sat Jul 18 13:44:34 2020	1595069074	0	13461	13461	13461
Sat Jul 18 13:44:21 2020	1595069061	0	13461	13461	13461
Sat Jul 18 13:44:21 2020	1595069061	0	13461	13461	13461
Sat Jul 18 13:44:34 2020	1595069074	0	13462	13462	13461
Sat Jul 18 13:44:02 2020	1595069042	20	13443	13464	13443
Sat Jul 18 13:44:02 2020	1595069042	20	13445	13465	13444
Sat Jul 18 13:44:21 2020	1595069061	0	13466	13466	13466
Sat Jul 18 13:44:34 2020	1595069074	0	13466	13467	13466
Sat Jul 18 13:44:21 2020	1595069061	0	13467	13468	13467
Sat Jul 18 13:44:21 2020	1595069061	0	13469	13469	13469
Sat Jul 18 13:44:28 2020	1595069068	0	13470	13470	13470
Sat Jul 18 13:44:21 2020	1595069061	0	13473	13473	13472
Sat Jul 18 13:44:21 2020	1595069061	0	13475	13475	13474
Sat Jul 18 13:44:34 2020	1595069074	0	13475	13475	13475
Sat Jul 18 13:44:21 2020	1595069061	0	13476	13476	13475
Sat Jul 18 13:44:21 2020	1595069061	0	13477	13477	13477
Sat Jul 18 13:44:22 2020	1595069062	0	13478	13478	13478
Sat Jul 18 13:44:21 2020	1595069061	0	13479	13479	13479
Sat Jul 18 13:44:21 2020	1595069061	0	13480	13481	13480
Sat Jul 18 13:44:21 2020	1595069061	0	13482	13482	13481
Sat Jul 18 13:44:21 2020	1595069061	0	13485	13485	13485
Sat Jul 18 13:44:22 2020	1595069062	0	13485	13485	13485
